age,sex,state,combined_race,occupation,ancestry
0,Male,District of Columbia,Some Other Race,Person,Not reported
36,Male,District of Columbia,Black or African American,Construction Laborer,Not reported
4,Female,District of Columbia,White,Person,Irish
73,Male,District of Columbia,White,Policy Processing Clerk,German
65,Male,District of Columbia,Black or African American,Baker,American
62,Male,District of Columbia,Black or African American,Operating Worker,African American
26,Female,District of Columbia,Korean,Business Operations Specialist,Korean
27,Male,District of Columbia,White,Software Developer,Not reported
32,Male,District of Columbia,White,Business Operations Specialist,Armenian
37,Male,District of Columbia,Black or African American,Manager,African American
18,Male,District of Columbia,White,Office Machine Operator,Not reported
30,Male,District of Columbia,White,Chief Executiv,German
64,Male,District of Columbia,White,Computer Support Specialist,English
45,Female,District of Columbia,Black or African American,Bus Driver,African
29,Male,District of Columbia,White,Cashier,German
8,Male,District of Columbia,Black or African American,Person,Nigerian
62,Male,District of Columbia,White,Event Planner,Uncodable entries
59,Male,District of Columbia,Black or African American,Person,African American
11,Male,District of Columbia,Black or African American,Person,African American
70,Female,District of Columbia,White,Manager,German
35,Male,District of Columbia,Black or African American,Police Officer,Not reported
33,Female,District of Columbia,White,Library Worker,Danish
6,Male,District of Columbia,Two or More Races,Person,Asian Indian
54,Male,District of Columbia,White,Mechanical Engineer,English
73,Female,District of Columbia,Black or African American,Retail Sales Worker,African American
34,Female,District of Columbia,White,Judicial Worker,Scottish
1,Male,District of Columbia,White,Person,Other responses
34,Male,District of Columbia,Black or African American,Groundskeeping Worker,African American
43,Male,District of Columbia,Black or African American,Person,Afro American
30,Male,District of Columbia,Black or African American,Human Resources Manager,Not reported
57,Male,District of Columbia,Black or African American,Person,African American
48,Male,District of Columbia,White,Inventory Clerk,Austrian
38,Male,District of Columbia,White,Manager,German
54,Female,District of Columbia,Black or African American,Cosmetologist,African American
15,Female,District of Columbia,All Other Spanish/Hispanic/Latino,Person,Mixture
62,Male,District of Columbia,Black or African American,Person,African American
40,Female,District of Columbia,White,Judicial Worker,French
7,Male,District of Columbia,Black or African American,Person,African American
73,Male,District of Columbia,Black or African American,Person,Black
62,Male,District of Columbia,Black or African American,Construction Trad,African American
17,Female,District of Columbia,Black or African American,Person,African American
35,Male,District of Columbia,White,Purchasing Manager,Italian
61,Male,District of Columbia,White,Operations Manager,Not reported
85,Male,District of Columbia,White,Person,German
26,Female,District of Columbia,White,News Analyst,Polish
63,Male,District of Columbia,Black or African American,Sheet Metal Worker,African American
41,Female,District of Columbia,Black or African American,Claims Adjuster,African American
48,Male,District of Columbia,Black or African American,Teaching Assistant,African American
58,Male,District of Columbia,White,Lodging Manager,German
50,Female,District of Columbia,Black or African American,Social Worker,Congolese
10,Female,District of Columbia,Black or African American,Person,African American
3,Female,District of Columbia,Two or More Races,Person,English
5,Male,District of Columbia,White,Person,Not reported
29,Female,District of Columbia,White,Middle School Teacher,Not reported
21,Female,District of Columbia,Black or African American,Group Fitness Instructor,African
43,Male,District of Columbia,White,Line Enlisted Military Supervisor,Italian
26,Female,District of Columbia,White,Social Scientist,Polish
65,Male,District of Columbia,White,Cashier,French
24,Male,District of Columbia,White,Construction Trad,Greek
65,Female,District of Columbia,Black or African American,Information Clerk,African American
40,Male,District of Columbia,White,Purchasing Manager,Northern European
72,Male,District of Columbia,Black or African American,Person,Black
62,Male,District of Columbia,Black or African American,Person,African American
52,Male,District of Columbia,Black or African American,Mobile Equipment Mechanic,African American
39,Male,District of Columbia,Colombian,Postsecondary Teacher,Colombian
1,Female,District of Columbia,Peruvian,Person,Peruvian
57,Female,District of Columbia,White,Business Operations Specialist,American
47,Male,District of Columbia,White,Judicial Worker,German
21,Male,District of Columbia,White,Person,Not reported
39,Female,District of Columbia,Black or African American,The Last 5 Year,African American
8,Male,District of Columbia,Black or African American,Person,African American
14,Male,District of Columbia,Two or More Races,Person,Not reported
18,Male,District of Columbia,White,Person,Canadian
83,Female,District of Columbia,Black or African American,Person,African American
53,Male,District of Columbia,Black or African American,Chief Executiv,African American
63,Female,District of Columbia,Black or African American,Person,African American
72,Female,District of Columbia,Black or African American,Residential Advisor,African American
25,Male,District of Columbia,White,Editor,Irish
36,Male,District of Columbia,Burmese,Accountant,Burmese
40,Male,District of Columbia,Korean,Carpenter,Korean
30,Male,District of Columbia,White,Manager,Not reported
65,Male,District of Columbia,Black or African American,Processing Machine Operator,African American
54,Male,District of Columbia,White,Community Service Manager,Lebanese
64,Male,District of Columbia,Black or African American,Person,Black
76,Male,District of Columbia,White,Person,Norwegian
55,Male,District of Columbia,White,Manager,European
2,Female,District of Columbia,Mexican,Person,Mexican
4,Female,District of Columbia,Black or African American,Person,Not reported
63,Female,District of Columbia,White,Person,Iranian
3,Female,District of Columbia,Black or African American,Person,African American
35,Female,District of Columbia,White,Fundraiser,Irish
64,Female,District of Columbia,White,Musician,German
53,Male,District of Columbia,White,Judicial Worker,Ukrainian
54,Female,District of Columbia,Black or African American,Insurance Sales Agent,African American
41,Female,District of Columbia,White,Mental Health Counselor,English
56,Male,District of Columbia,White,Judicial Worker,Swiss
24,Male,District of Columbia,White,Agricultural Engineer,Scotch Irish
26,Female,District of Columbia,White,Computer Systems Analyst,Greek
25,Female,District of Columbia,Two or More Races,Baker,Iranian
69,Female,District of Columbia,Spaniard,Interpreter,Spaniard
